Source	Size
file:/shipreq/webapp-client-project/shipreq/webapp/client/project/app/pages/config_old/shared/CfgTable.scala	3484
file:/shipreq/webapp-base/shipreq/webapp/base/feature/tablenav/TablePos.scala	3482
file:/shipreq/webapp-base/shipreq/webapp/base/ui/semantic/Header.scala	3468
https:/raw.githubusercontent.com/japgolly/scalajs-react/v1.6.0/core/Reusability.scala	3466
file:/shipreq/webapp-base-member/shipreq/webapp/base/text/Grammar.scala	3447
https:/raw.githubusercontent.com/scala/v2.12.10/collection/immutable/TreeMap.scala	3441
https:/raw.githubusercontent.com/scala/v2.12.10/collection/immutable/TreeSet.scala	3430
https:/raw.githubusercontent.com/scala/v2.12.10/collection/mutable/HashMap.scala	3418
file://localhome/doeraene/projects/scalajs-java-time/java/time/Duration.scala	3382
https:/raw.githubusercontent.com/scala-js/v0.6.32/javalib/java/math/BigInteger.scala	3350
file:/shipreq/base-util/shipreq/base/util/Util.scala	3343
file:/shipreq/webapp-base-member/shipreq/webapp/base/ui/ReauthenticationModal.scala	3339
https:/raw.githubusercontent.com/scala-js/v0.6.32/scalalib/overrides-2.12/scala/reflect/ClassTag.scala	3321
https:/raw.githubusercontent.com/scala/v2.12.10/collection/IndexedSeqLike.scala	3317
https:/raw.githubusercontent.com/scala/v2.12.10/util/matching/Regex.scala	3308
file:/shipreq/webapp-client-project/shipreq/webapp/client/project/app/pages/config/tags/EditorButtons.scala	3286
file:/shipreq/webapp-client-project/shipreq/webapp/client/project/app/pages/config_old/shared/Persistence.scala	3281
https:/raw.githubusercontent.com/japgolly/scalajs-react/v1.6.0/extra/router/RoutingRule.scala	3269
https:/raw.githubusercontent.com/scala-js/v0.6.32/javalib/java/util/Throwables.scala	3259
file:/shipreq/webapp-base/shipreq/webapp/base/ui/semantic/Popup.scala	3238
https:/raw.githubusercontent.com/scala/v2.12.10/collection/SeqLike.scala	3226
